"","id","episode","starpoint","participant","heart"
"134","741891",18,"9.95","5895","4,280"
"135","741891",19,"9.95","6124","4,238"
"136","741891",20,"9.94","5763","4,108"
"137","741891",21,"9.95","5987","4,203"
"138","741891",22,"9.96","6081","4,067"
"139","741891",23,"9.96","5950","4,165"
"140","741891",24,"9.97","6230","4,150"
"141","741891",25,"9.97","5894","4,075"
"142","741891",26,"9.96","5934","4,116"
"143","741891",27,"9.96","5498","3,816"
"144","741891",28,"9.97","5718","3,991"
"145","741891",29,"9.97","6043","4,131"
"146","741891",30,"9.96","6157","3,959"
"147","741891",31,"9.96","5915","3,931"
"148","741891",32,"9.97","5257","3,757"
"149","741891",33,"9.96","5206","3,657"
"150","741891",34,"9.98","5376","3,662"
"151","741891",35,"9.96","5080","3,483"
"152","741891",36,"9.97","5458","4,103"
"153","741891",37,"9.97","6436","4,368"
"154","741891",38,"9.98","5972","4,021"
"155","741891",39,"9.98","6353","4,324"
"156","741891",40,"9.97","6230","4,130"
"157","741891",41,"9.97","5144","3,324"
"158","753858",1,"9.54","11347","12,212"
"159","753858",2,"9.68","11662","11,836"
"160","753858",3,"9.86","7604","9,643"
"161","753858",4,"9.87","6393","9,071"
"162","753858",5,"9.88","5973","8,782"
"163","753858",6,"9.92","6144","8,571"
"164","753858",7,"9.88","6129","8,368"
"165","753858",8,"9.89","5510","8,011"
"166","753858",9,"9.88","4868","7,154"
"167","753858",10,"9.75","5106","6,727"
"168","753858",11,"9.92","4680","6,892"
"169","753858",12,"9.90","4768","6,895"
"170","753858",13,"9.95","4837","6,873"
"171","753858",14,"9.89","4445","6,341"
"172","753858",15,"9.88","3924","5,539"
"173","738809",1,"9.97","27306","33,304"
"174","738809",2,"9.96","29991","34,527"
"175","738809",3,"9.98","22679","29,005"
"176","738809",4,"9.97","21355","27,165"
