"","id","title","cartoonist","genre","last_episode","week_rank","week","star_point"
"152","736699","저승사자 출입금지","심웅섭","스토리, 드라마",56,"49","wed","9.81"
"153","745236","스몰","을승","스토리, 로맨스",30,"50","wed","9.90"
"154","737009","FM보이","육일공","스토리, 로맨스",53,"51","wed","9.96"
"155","743026","비스타","유마","스토리, 드라마",34,"52","wed","7.80"
"156","745473","노선도","효기","스토리, 스릴러",30,"53","wed","9.79"
"157","736281","럭키언럭키휴재","가천가","스토리, 판타지",0,"54","wed","9.94"
"158","570503","연애혁명","232","스토리, 드라마",333,"1","thu","9.87"
"159","748105","독립일기컷툰","자까","에피소드, 일상",48,"2","thu","9.97"
"160","736989","더 복서","정지훈","스토리, 액션",0,"3","thu","9.94"
"161","557672","기기괴괴","오성대","옴니버스, 스릴러",327,"4","thu","9.90"
"162","731130","이두나!","민송아","스토리, 로맨스",73,"5","thu","9.96"
"163","756137","노답소녀","석우","스토리, 로맨스",5,"6","thu","9.88"
"164","699415","간 떨어지는 동거","나","스토리, 로맨스",176,"7","thu","9.97"
"165","747271","나노마신","현절무 / 금강불괴","스토리, 판타지",27,"8","thu","9.95"
"166","739503","화이트 블러드","임리나","스토리, 판타지",49,"9","thu","9.97"
"167","710761","하드캐리","조양","스토리, 드라마",125,"10","thu","9.91"
"168","637931","전자오락수호대","가스파드","스토리, 판타지",249,"11","thu","9.97"
"169","727798","겟백","세윤","에피소드, 드라마",83,"12","thu","9.98"
"170","746857","무사만리행","운 / 배민기","스토리, 액션",28,"13","thu","9.92"
"171","741825","꽃만 키우는데 너무강함","쿰타타 / 주현후","스토리, 판타지",41,"14","thu","9.97"
"172","758439","던전 씹어먹는 아티팩트","제로워터, 엄키 / 엄키","스토리, 판타지",4,"15","thu","9.78"
"173","716857","오늘의 순정망화","손하기","에피소드, 개그",267,"16","thu","9.98"
"174","728619","병의 기록","베어리","에피소드, 드라마",82,"17","thu","9.76"
"175","740487","신비","반지","스토리, 로맨스",34,"18","thu","9.98"
"176","759129","달라 보여도 모두 같은 가족","김진/신태훈,나승훈","스토리, 일상",0,"19","thu","9.65"
"177","738194","당신의 과녁","고태호","스토리, 드라마",51,"20","thu","9.96"
